metric_id,metric_name,definition_label,check_id,reconstructed_value,reference_value,absolute_difference,percentage_difference,validation_status,pass_fail,reference_source,explanation_reference_id,trust_level,notes
M.MAINT.001,Maintenance volume,Maintenance volume,MAINT.06,1611.00,1611.00,0.00,0.00,MATCH,PASS,H.019 maintenance_view_vs_actual,MAINT.06,SAFE,Reconstruction matches the exported business view within tolerance.
M.MAINT.002,Maintenance cost (2 paths),Maintenance cost (2 paths),MAINT.02,28796.00,28796,0.00,0.00,MATCH,PASS,F.015 v_maintenance_metrics,MAINT.02,SAFE,Reconstruction matches the exported business view within tolerance.
M.MAINT.002,Maintenance cost (2 paths),Maintenance cost (2 paths),MAINT.03,15.00,15.00,0.00,0.00,MATCH,PASS,F.016 v_maintenance_by_issue_type,MAINT.03,SAFE,Reconstruction matches the exported business view within tolerance.
M.MAINT.002,Maintenance cost (2 paths),Maintenance cost (2 paths),MAINT.04,28796.00,28796,0.00,0.00,MATCH,PASS,F.016 v_maintenance_by_issue_type,MAINT.04,SAFE,Reconstruction matches the exported business view within tolerance.
M.MAINT.002,Maintenance cost (2 paths),Maintenance cost (2 paths),MAINT.05,28796.00,28796.00,0.00,0.00,MATCH,PASS,Internal cross-check (conflicts.md C.023),MAINT.05,SAFE,Reconstruction matches the exported business view within tolerance.
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,EB.03,0.00,0.00,0.00,0.00,MATCH,PASS,DQ.028 (proven 0% conformance -- uses Mon-YY instead),EB.03,DISCLOSE,Confirms DQ.028: 0% of electricity_readings.billing_month values match the YYYY-MM format every other billing_month column uses (all use 'Mon-YY' e.g. 'Apr-25').
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,EB.04,0.00,0.00,0.00,0.00,MATCH,PASS,DQ.028,EB.04,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,EB.05,100.00,100.00,0.00,0.00,MATCH,PASS,DQ.028 (control group),EB.05,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,EB.06,100.00,100.00,0.00,0.00,MATCH,PASS,DQ.028 (control group),EB.06,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,EB.07,100.00,100.00,0.00,0.00,MATCH,PASS,DQ.028 (control group),EB.07,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,EB.08,2.00,2.00,0.00,,MATCH,PASS,M.025 temporal_profile / evidence_integrity_report.md 9,EB.08,DISCLOSE,Confirms eb_payments spans only 2 calendar months -- the narrowest coverage of any financial table in the package.
M.EB.002,EB tenant allocation,EB tenant allocation,EB.01,801.00,801.00,0.00,0.00,MATCH,PASS,Formula verification (business_logic.md 12.1),EB.01,DISCLOSE,"Confirms the ROUND(total_apartment_bill/total_tenant_days) formula holds for the full 801-row population, not just the 5-row sample checked in business_logic.md."
M.EB.002,EB tenant allocation,EB tenant allocation,EB.02,801.00,801.00,0.00,0.00,MATCH,PASS,Formula verification,EB.02,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.RISK.001,Outstanding dues,Def A: v_outstanding_receivables (reversals excluded),AR.04c,751.00,873.00,122.00,,DIFFERS,FAIL,"conflicts.md C.005 (H.052 export, Def1 vs Def2-UNCLIPPED comparison)",AR.04c,BLOCK,"This script compares Def1 against Def2-FLOORED (n=751); conflicts.md's 873 figure compared Def1 against Def2-UNCLIPPED (H.052's own basis, confirmed exact in AR.04a). The two disagreement counts differ because flooring changes which allotments read as zero. Both counts are real and neither supersedes the other -- they answer 'how does Def1 disagree with Def2' under two different Def2 sub-rules."
M.RISK.002,Aging,Aging,,"{'0_30': -57463.94, '31_60': 4488604.27, '61_90': -154043.45, '90_plus': -4198767.03}",,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.RISK.003,Deposit risk,Phantom deposits (M.RISK.004),,"{'allotment_count': 32, 'amount_at_risk': 722700.0}",,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.RISK.004,Phantom deposits,Phantom deposits,DEP.06,32.00,32.00,0.00,0.00,MATCH,PASS,H.045 v_diag_deposit_phantom,DEP.06,DISCLOSE,Reproduces DQ.011's 32-allotment phantom-deposit exposure exactly.
M.RISK.004,Phantom deposits,Phantom deposits,DEP.07,722700.00,,,,NOT_DETERMINABLE,UNVERIFIED,H.045 does not export a summed amount -- this is a new figure computed directly from tenant_allotments.deposit_paid for the 32 phantom rows.,DEP.07,DISCLOSE,"No reference view sums this amount; recorded as a first computation, not a validated reconciliation."
M.RISK.005,Duplicate invoices,Duplicate invoices,DQ.013,322.00,322.00,0.00,0.00,MATCH,PASS,data_quality_report.md DQ.013 (H.055),DQ.013,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.RISK.005,Duplicate invoices,Duplicate invoices,DQ.013b,356.00,356.00,0.00,0.00,MATCH,PASS,data_quality_report.md DQ.013,DQ.013b,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.RISK.006,Duplicate receipts,Duplicate receipts,,{'detection_groups': 9},,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.RISK.007,Overlapping allotments,Overlapping allotments,DQ.003,214.00,187.00,27.00,14.44,DIFFERS,FAIL,data_quality_report.md DQ.003 (H.056),DQ.003,DISCLOSE,"Small differences from H.056's exact count are expected: this reimplementation uses actual_exit_date OR the snapshot date as the open-interval end, which may classify boundary cases differently than H.056's own (unexported) SQL."
M.RISK.008,Ledger/source reconciliation,Ledger/source reconciliation,,"{'deposit_settlements': {'legacy_amount': 5085959.33, 'je_net_amount': 5669454.67, 'diff': 583495.34, 'verdict': 'INVESTIGATE'}, 'expenses': {'legacy_amount': 716402.0, 'je_net_amount': 716402.0, 'diff': 0.0, 'verdict': 'PERFECT'}, 'invoices': {'legacy_amount': 72405785.4, 'je_net_amount': 74829055.4, 'diff': 2423270.0, 'verdict': 'INVESTIGATE'}, 'owner_payments': {'legacy_amount': 19019250.0, 'je_net_amount': 19019250.0, 'diff': 0.0, 'verdict': 'PERFECT'}, 'receipts': {'legacy_amount': 81855686.97, 'je_net_amount': 87196482.59, 'diff': 5340795.62, 'verdict': 'INVESTIGATE'}, 'tenant_adjustments': {'legacy_amount': 514082.77, 'je_net_amount': 514082.77, 'diff': 0.0, 'verdict': 'PERFECT'}}",,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.RISK.009,Data-quality score / trust status,Data-quality score / trust status,,"{'SAFE': 18, 'DISCLOSE': 17, 'SHOW_BOTH': 8, 'BLOCK': 4, 'NOT_DETERMINABLE': 2}",,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
