metric_id,semantic_name,display_name,domain,description,definition,source_objects,source_columns,grain,dimensions,date_field,aggregation,filters,reversal_policy,soft_delete_policy,historical_policy,dependency_metrics,validation_reference,conflict_ids,dq_ids,trust_level,ai_handling,allowed_questions,prohibited_questions,caveat_text,status
M.TEN.002,On-Notice tenants,On-Notice tenants,Operations,Tenants/allotments currently in On-Notice status (given notice to vacate but not yet exited).,COUNT(*) WHERE staying_status = 'On-Notice'.,"tenant_allotments; None isolates this alone (v_occupancy's on_notice column is DEFECTIVE, see M.OCC.005)","tenant_allotments.staying_status, bed_id, tenant_id","org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed,Not applicable,COUNT(*),staying_status = 'On-Notice',Not applicable,Not applicable,Same as M.TEN.001.,,"H.011/H.013 (validated: OCC.14, exact match, 7; OCC.03/05 confirm the downstream defect).",C.009,DQ.005,SAFE,SAFE,"Direct questions about on-notice tenants (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.TEN.003,Booked beds,Booked beds,Operations,"Beds with a future/pending tenant allotment (Booked status, not yet moved in).",COUNT(*) beds WHERE NOT has_staying AND has_booked (per v_occupancy's construction) or COUNT(DISTINCT tenant_id) WHERE staying_status='Booked' (per v_active_tenants).,"beds, tenant_allotments; v_occupancy (F.005, bed-grained), v_active_tenants (F.022, tenant-grained); get_universal_metrics, get_universal_metrics_v2","tenant_allotments.staying_status='Booked', bed_id, tenant_id",org=organization_id; property=property_id; tenant/allotment=bed_id or tenant_id depending on definition,organization; property; tenant/allotment/bed,Not applicable,COUNT,staying_status='Booked',Not applicable,Not applicable,"H.014: 4 Booked allotments, min onboarding 2026-08-01, max 2026-08-16 -- ALL very recent (this status is inherently forward-looking).",,"F.022 v_active_tenants.booked_tenants (validated: OCC.11, exact match, 4); v_occupancy's booked column (validated: OCC construction consistent, 4).",,,SAFE,SAFE,"Direct questions about booked beds (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.OCC.005,Historical occupancy,Historical occupancy,Operations,Occupancy over time (not just right now) -- see M.OCC.001 Def E and get_occupancy_intelligence.,"Occupied beds per calendar month, reconstructed from the dated allotment intervals: a bed counts for a month when a stint's [onboarding_date, COALESCE(actual_exit_date, export snapshot)] interval meets that month. Two readings are computed and both are returned: (1) occupied at any point in the month, (2) held on the last day of the month the export covers. Neither is selected. Bed universe is Live beds in Live apartments, the same universe as M.OCC.001 Def A/B. This is a bed COUNT per month, not the day-weighted ratio of M.OCC.003/004.","tenant_allotments, beds, apartments","tenant_allotments.staying_status, bed_id, onboarding_date, actual_exit_date; beds.status, apartment_id; apartments.status",org=organization_id; property=property_id; tenant/allotment=bed_id,organization; property; tenant/allotment/bed,"onboarding_date and actual_exit_date (the stint interval). Months are enumerated from the earliest recorded onboarding to the export snapshot; the series is not parameterised by a caller-supplied window.","COUNT(DISTINCT bed_id) per month, computed twice under the two membership readings. No day-weighting, no ratio, no averaging across months, and the two readings are never blended.","staying_status IN ('Staying','On-Notice','Exited')",Not applicable,Not applicable,"Full history available: 2019-11-03 to 2026-08-31 (tenant_allotments.onboarding_date, the widest span of any domain).",M.OCC.001,"H.012e (194/203, cross-referenced in OCC printout, not independently re-derived as a day-weighted calc in this pass's scripts -- the bed-set-membership check (Staying+On-Notice+Exited, ALL beds) IS validated via OCC.07/07b as the closest available proxy).",C.006;C.008,DQ.004,SHOW_BOTH,SHOW_BOTH,"Questions about historical occupancy may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single historical occupancy figure without naming which definition it is; averaging or blending competing definitions.,"Occupied beds are counted month by month from the dates on each stay. Two readings are supported and both are shown: a bed occupied at any point in the month, and a bed held on the month's last recorded day. They differ wherever a bed changed hands mid-month, and the records do not settle which reading the business uses.",ACTIVE
M.LIFE.001,Tenant lifecycle (staying_status sync),Tenant lifecycle (staying_status sync),Operations,How a tenant's overall status is derived from their (possibly multiple) allotments.,"tenants.staying_status is DERIVED, not independent: priority order Staying(1) > On-Notice(2) > Booked(3) > else(4), tie-broken by most-recently-created allotment, kept in sync by sync_tenant_staying_status (AFTER INSERT/UPDATE) and sync_tenant_staying_status_on_delete (AFTER DELETE) on tenant_allotments.","tenant_allotments, tenants; sync_tenant_staying_status, sync_tenant_staying_status_on_delete (both bodies fully exported)","tenant_allotments.staying_status, tenant_id, created_at; tenants.staying_status","org=organization_id; property=Not applicable (tenant-level, can span properties); tenant/allotment=tenant_id (native grain)",organization; tenant/allotment/bed,created_at (tie-break only),Not an aggregation -- a per-tenant derivation rule,None (the trigger scans ALL of a tenant's allotments),Not applicable,Not applicable (tenants/tenant_allotments have no is_deleted column),"Full history, 2019-11 to 2026-08.",,"Not independently re-executed in this pass's scripts (the derivation is a row-level trigger rule, not an aggregate to compare against a view) -- confidence is from reading both full function bodies directly (business_logic.md 10.1).",,,SAFE,SAFE,"Direct questions about tenant lifecycle (staying_status sync) (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.LIFE.002,Move-ins,Move-ins,Operations,Tenant onboarding events.,"tenant_allotments WHERE onboarding_date IS NOT NULL, event_date=onboarding_date, event='move_in'.",tenant_allotments; v_tenant_lifecycle_events (F.017),"tenant_allotments.onboarding_date, tenant_id, allotment_id, staying_status, bed_id, apartment_id, property_id","org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; time (month),onboarding_date,"COUNT(*) or list, groupable by month",onboarding_date IS NOT NULL,Not applicable,Not applicable,2019-11-03 to 2026-08-31 (67 months).,,"F.017 v_tenant_lifecycle_events (2204 rows, full population, exact SQL reproduced in business_logic.md 10.2; not independently re-executed as a row-count check in this pass's scripts, but the UNION ALL construction is simple and fully specified from source).",,,SAFE,SAFE,"Direct questions about move-ins (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.LIFE.003,Move-outs,Move-outs,Operations,Tenant exit events.,"tenant_allotments WHERE actual_exit_date IS NOT NULL, event_date=actual_exit_date, event='move_out'.",tenant_allotments; v_tenant_lifecycle_events (F.017),"tenant_allotments.actual_exit_date, tenant_id, allotment_id, staying_status","org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; time (month),actual_exit_date,"COUNT(*) or list, groupable by month",actual_exit_date IS NOT NULL,Not applicable,Not applicable,"tenant_allotments.actual_exit_date: 2022-11-20 to 2026-09-20 (47 months, including a small forward-dated tail).",,Same as M.LIFE.002.,,,SAFE,SAFE,"Direct questions about move-outs (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.LIFE.004,Exit reconciliation,Exit reconciliation,Operations,"For each Exited allotment, what's still outstanding: AR dues, deposit/advance held, EB already invoiced, exit charges already invoiced, and the latest settlement status.","v_exit_reconciliation_worklist: joins tenant_allotments (staying_status='Exited') to v_tenant_current_dues (Def B AR, reversals INCLUDED), plus LATERAL sums of invoices by reference_type/invoice_type, plus the latest deposit_settlements row per allotment.","tenant_allotments, tenants, apartments, beds, properties, invoices, deposit_settlements; v_exit_reconciliation_worklist (F.027, byte-identical duplicate at H.047)",See business_logic.md 10.4 for the full join list,"org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id (native grain)",organization; property; tenant/allotment/bed,actual_exit_date,Not an aggregation -- a per-allotment worklist (45 rows),staying_status='Exited' AND (ar_balance<>0 OR deposit_held+booking_advance>0),dues_now (ar_balance) uses M.AR.001B's convention (reversals INCLUDED) -- NOT the reversal-excluded convention.,eb_already/exit_charge_already exclude soft-deleted invoices (is_deleted=false); deposit settlement lookup excludes soft-deleted settlements.,"Bounded to currently-Exited allotments with an outstanding balance -- a live worklist, not a historical time series.",,"F.027 v_exit_reconciliation_worklist (45 rows; not independently re-executed as a full reconstruction in this pass's scripts given its 8-way join complexity, but every one of its component parts -- AR via M.AR.001B, invoice filters, deposit settlement lookup -- IS independently validated elsewhere in this document).",C.001,,SAFE,SAFE,"Direct questions about exit reconciliation (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.MAINT.001,Maintenance volume,Maintenance volume,Operations,"Ticket counts: total, open, closed, by month/property.","COUNT(*) FROM maintenance_tickets, GROUP BY status/month/property.",maintenance_tickets; v_maintenance_metrics (F.015),"maintenance_tickets.status, created_at, organization_id, property_id",org=organization_id; property=property_id; tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month),created_at,COUNT(*) per status/month,status IN/NOT IN closed states depending on the question,Not applicable,Not applicable (no is_deleted column on maintenance_tickets),"2025-01-29 to 2026-08-29 (20 months, created_at) -- the SHORTEST domain coverage of any operational area in the package. Do not manufacture a YoY comparison for maintenance.",,"M.006 exact row count (1611, live table); H.019's 1613 figure (validated: MAINT.01/MAINT.01b, exact match AND mechanism proven).",,DQ.027,SAFE,SAFE,"Direct questions about maintenance volume (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.MAINT.002,Maintenance cost (2 paths),Maintenance cost (2 paths),Operations,"Cost of maintenance activity -- TWO independent linkage paths coexist, answering different questions.","Path A (v_maintenance_metrics): maintenance_tickets LEFT JOIN ticket_resolutions LEFT JOIN expenses ON ticket_resolution_id, dated by ticket created_at month. Path B (v_maintenance_by_issue_type): expenses.issue_type_id direct join to issue_types, requires ticket_resolution_id IS NOT NULL, dated by expense_date.","maintenance_tickets, ticket_resolutions, expenses, issue_types; v_maintenance_metrics (F.015, Path A), v_maintenance_by_issue_type (F.016, Path B)","ticket_resolutions.ticket_id; expenses.ticket_resolution_id, issue_type_id, amount, expense_date",org=organization_id; property=property_id; tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month),Path A: maintenance_tickets.created_at (ticket creation month). Path B: expenses.expense_date.,SUM(expenses.amount) per path,"Path A: none beyond the joins (LEFT JOIN, cost=0 if unlinked). Path B: ticket_resolution_id IS NOT NULL.",Not applicable,Not applicable,Same 20-month window as M.MAINT.001 for tickets; expenses.expense_date extends back to 2023-03.,M.MAINT.001,"F.015 v_maintenance_metrics (validated: MAINT.02, exact match Rs.28,796.00); F.016 v_maintenance_by_issue_type (validated: MAINT.03/04, exact match, 15 resolved_tickets / Rs.28,796.00); cross-check between paths (validated: MAINT.05, exact match).",C.023,DQ.027;DQ.034,SAFE,SAFE,"Direct questions about maintenance cost (2 paths) (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.EB.001,EB/electricity usage and cost,EB/electricity usage and cost,Operations,"Electricity consumption (units) and billed cost, at the property/apartment/billing-period level.","electricity_readings (units_consumed, unit_cost per apartment/billing_month) and eb_payments (bill_amount per property/bill_date).","electricity_readings, eb_payments, eb_rates, eb_monitoring_readings; trg_eb_payment_journal_post (posting orchestration, body NOT among the 25 exported)","electricity_readings.units_consumed, unit_cost, billing_month, apartment_id; eb_payments.bill_amount, bill_date, payment_date",org=organization_id; property=property_id; tenant/allotment=Not applicable at this grain (see M.EB.002 for tenant-level allocation),organization; property; tenant/allotment/bed; time (month),"electricity_readings.billing_month (TEXT, 'Mon-YY' format -- see Known limitations); eb_payments.bill_date (a real DATE column)","SUM(units_consumed), SUM(bill_amount)",None required for a raw sum,Not applicable at the source-table level. Ledger side (via owner_payments-style posting) is NOT determinable from exported evidence -- trg_eb_payment_journal_post's body is not among the 25 exported.,Not applicable (no is_deleted column on any EB table).,"electricity_readings: created_at 2026-03-20 to 2026-07-31 (5 months, EXPORT timing, not necessarily billing coverage -- billing_month values span a much wider historical range in 'Mon-YY' text form, e.g. 'May-24'). eb_payments: bill_date 2026-04-29 to 2026-06-27 (ONLY 2 months -- the narrowest coverage of any financial domain in the package). eb_monitoring_readings: a SINGLE DAY snapshot (2026-08-18, all 35 rows).",,"Format-mismatch fully re-verified in this pass (validate_eb.py EB.03-07, all exact matches to the 0%/100% pattern); eb_payments 2-month coverage re-verified (EB.08, exact match).",,DQ.021;DQ.028,DISCLOSE,DISCLOSE,"Questions about eb/electricity usage and cost may be answered directly, WITH the caveat text attached every time.",Stating eb/electricity usage and cost without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.021;DQ.028.",ACTIVE
M.EB.002,EB tenant allocation,EB tenant allocation,Operations,"How one apartment's electricity bill is allocated across the tenants who occupied it that month, proportional to days stayed.",per_day_rate = ROUND(total_apartment_bill / total_tenant_days); tenant_eb_charge = per_day_rate * tenant_stay_days. Formula reverse-engineered from data (NOT from an exported function body -- no allocation function is among the 25 exported).,eb_tenant_shares,"eb_tenant_shares.total_apartment_bill, total_tenant_days, per_day_rate, tenant_stay_days, tenant_eb_charge, invoice_id, apartment_id, billing_month",org=organization_id; property=Via apartment_id; tenant/allotment=tenant_id (native grain),organization; property; tenant/allotment/bed; time (month),"billing_month (TEXT, 'Mon-YY' format -- same DQ.028 defect as M.EB.001)","Per-row formula, not an aggregation (each row is one tenant's allocated share for one apartment/month)",None required,Not applicable,Not applicable,"created_at 2026-04-07 to 2026-08-08 (5 months, export timing); billing_month text values span a wider historical range.",M.EB.001,"Formula verification (validated: EB.01/EB.02, both 801/801 exact matches -- upgraded from business_logic.md's original 5-row spot-check to a full-population proof in this pass).",,DQ.028,DISCLOSE,DISCLOSE,"Questions about eb tenant allocation may be answered directly, WITH the caveat text attached every time.",Stating eb tenant allocation without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.028.",ACTIVE
M.RISK.001,Outstanding dues,Outstanding dues,Risk & Data Quality,"Cross-reference to M.AR.001A-D -- 'outstanding dues' is the same 4-way conflict, framed as a risk metric.",See M.AR.001A-D.,"See M.AR.001A-D; F.006, F.007",See M.AR.001A-D,org=organization_id; property=See M.AR.003; tenant/allotment=See M.AR.002,organization; property; tenant/allotment/bed,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,See M.AR.001A-D,M.AR.001A;M.AR.001B;M.AR.001C;M.AR.001D,Same as M.AR.001A-D.,C.001;C.003;C.005,DQ.002;DQ.019,BLOCK,BLOCK,"Only meta-questions (""why can't you tell me outstanding dues"", ""what are the competing definitions"") -- never a single-number answer.","Any direct ""the outstanding dues is X"" answer; picking the definition that looks most favourable; silently defaulting to one definition.",BLOCKED: do not state a single number for this metric. Conflicting definitions exist (see conflicts.md C.001;C.003;C.005). See data_quality_report.md DQ.002;DQ.019.,ACTIVE_BLOCKED
M.RISK.002,Aging,Aging,Risk & Data Quality,AR aged into 0-30/31-60/61-90/90+ day buckets by charge date.,"v_tenant_aging: buckets by CURRENT_DATE - charge_date, on raw journal_lines account 1200 (reversals INCLUDED, same convention as M.AR.001B).","journal_lines, journal_entries, coa_accounts; v_tenant_aging (F.008)","journal_lines.debit, credit, party_id, allotment_id; journal_entries.entry_date","org=organization_id; property=Not carried directly; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed,"CURRENT_DATE - entry_date (bucket boundary), entry_date (charge date itself)","SUM(net) per bucket per (tenant_id, allotment_id)",account_code='1200' AND party_kind='tenant',"INCLUDED (same convention as M.AR.001B, v_tenant_current_dues).",Inherited via reversal mechanism.,"Full ledger AR history, 2019-11 to 2026-09.",,"Not independently re-executed in this pass's scripts (a snapshot-dependent calculation cannot be meaningfully re-validated against a frozen export without first fixing the same as-of date the export used, which was not separately recorded per-row in F.008).",C.019,DQ.018;DQ.036,DISCLOSE,DISCLOSE,"Questions about aging may be answered directly, WITH the caveat text attached every time.",Stating aging without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.018. See conflicts.md C.019.",ACTIVE
M.RISK.003,Deposit risk,Deposit risk,Risk & Data Quality,Umbrella metric combining phantom deposits (M.RISK.004) and deposit settlement anomalies (premature/duplicate/transfer-double-count).,"UNION of v_diag_deposit_phantom (32 rows) and v_deposit_ledger_anomalies (22 rows, 3 anomaly types).","tenant_allotments, deposit_settlements, journal_lines/journal_entries/coa_accounts; v_diag_deposit_phantom (H.045), v_deposit_ledger_anomalies (H.046); validate_deposit_settlement (write-time constraint, body exported)",See M.RISK.004 and business_logic.md 5.4,"org=organization_id; property=Via join; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed,"Various (settlement_date, actual_exit_date)",COUNT(*) per anomaly type,See M.RISK.004 and 5.4,"Not applicable (source-table anomaly detection, not ledger totals)",NOT is_deleted filters applied throughout,"Bounded to currently-flagged rows (a live worklist, not a time series).",M.RISK.004;M.DEP.002,"H.045 (validated: DEP.06, exact match, 32); H.046 (not independently re-executed as a full 3-way anomaly reconstruction in this pass's scripts, given its complexity -- recorded as a follow-up).",,DQ.011;DQ.012;DQ.035,DISCLOSE,DISCLOSE,"Questions about deposit risk may be answered directly, WITH the caveat text attached every time.",Stating deposit risk without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.011;DQ.012.",ACTIVE
M.RISK.004,Phantom deposits,Phantom deposits,Risk & Data Quality,Tenant allotments holding a deposit with no live tenant relationship (Exited/Cancelled) and no settlement record at all.,"tenant_allotments WHERE deposit_paid > 0 AND staying_status IN ('Exited','Cancelled') AND NOT EXISTS(a matching, non-deleted deposit_settlements row).","tenant_allotments, deposit_settlements; v_diag_deposit_phantom (H.045)","tenant_allotments.deposit_paid, staying_status, actual_exit_date, id; deposit_settlements.allotment_id, is_deleted","org=organization_id; property=Via join; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed,Not applicable (current-state check),"COUNT(*), and SUM(deposit_paid) for the amount at risk","deposit_paid>0 AND staying_status IN ('Exited','Cancelled')",Not applicable,deposit_settlements filtered to NOT is_deleted for the existence check,Current-state check across the full tenant_allotments history.,,"H.045 v_diag_deposit_phantom (validated: DEP.06, exact match, 32 allotments); amount at risk (validated: DEP.07, Rs.722,700.00 -- a NEW figure, H.045 does not export a summed amount, computed here for the first time).",,DQ.011;DQ.035,DISCLOSE,DISCLOSE,"Questions about phantom deposits may be answered directly, WITH the caveat text attached every time.",Stating phantom deposits without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.011.",ACTIVE
M.RISK.005,Duplicate invoices,Duplicate invoices,Risk & Data Quality,"Invoices that appear more than once for the same (allotment, billing_month, invoice_type).","GROUP BY allotment_id, billing_month, invoice_type HAVING COUNT(*) > 1, on live invoices.","invoices; None (H.055 is an ad-hoc diagnostic, not a stored view)","invoices.allotment_id, billing_month, invoice_type, total_amount, invoice_number, is_deleted",org=organization_id; property=Via allotment join; tenant/allotment=allotment_id (grouping key),organization; property; tenant/allotment/bed; time (month),Not applicable to the grouping itself (billing_month is the grouping key),"COUNT(*), SUM(total_amount) per group",NOT is_deleted,Not applicable,Live rows only,"Full invoices history, 2023-02 to 2026-09.",,"H.055 duplicate_invoices (validated: DQ.013/DQ.013b in validate_data_quality.py, exact match, 322 groups / 356 excess rows -- independently re-derived from raw invoices in this pass, not merely re-read from the diagnostic).",C.020,DQ.013,DISCLOSE,DISCLOSE,"Questions about duplicate invoices may be answered directly, WITH the caveat text attached every time.",Stating duplicate invoices without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.013. See conflicts.md C.020.",ACTIVE
M.RISK.006,Duplicate receipts,Duplicate receipts,Risk & Data Quality,Receipts flagged as likely duplicates by the application's own (partial) detection mechanism.,"receipts_dedup_audit table: groups by (tenant_id, payment_date, amount_paid, reference_number), duplicate_count 2-6, one-time detection pass (detected_at all = 2026-04-22).","receipts_dedup_audit, receipts","receipts_dedup_audit.tenant_id, payment_date, amount_paid, reference_number, duplicate_count, receipt_ids, detected_at",org=organization_id; property=Not carried; tenant/allotment=tenant_id,organization; property; tenant/allotment/bed,"detected_at (single value, not a range)","COUNT(*) groups, SUM per group",None (the table itself IS the filtered result),Not applicable,"Cross-checked in this pass: of 23 flagged receipt_ids, only 11 still exist in the receipts export (12 were HARD-deleted, not soft-deleted, since detection); NONE of the remaining 11 are soft-deleted -- detection did NOT drive remediation.","One-time detection snapshot (2026-04-22), not an ongoing feed.",,"Not independently re-executed as a fresh detection pass in this pass's scripts (the 9-group/23-id/11-live cross-check was performed and confirmed during the conflicts.md pass, C.018/C.020, and is carried forward here as an established fact, not re-derived).",C.018;C.020,DQ.014,DISCLOSE,DISCLOSE,"Questions about duplicate receipts may be answered directly, WITH the caveat text attached every time.",Stating duplicate receipts without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.014. See conflicts.md C.018;C.020.",ACTIVE
M.RISK.007,Overlapping allotments,Overlapping allotments,Risk & Data Quality,Two tenant_allotments rows for the same bed with overlapping date ranges -- a concurrent-occupancy data-quality signal.,"For each bed_id, pairwise interval-overlap check on [onboarding_date, COALESCE(actual_exit_date, snapshot_date)].",tenant_allotments; None (H.056 is an ad-hoc diagnostic),"tenant_allotments.bed_id, onboarding_date, actual_exit_date",org=organization_id; property=Via bed->apartment->property; tenant/allotment=bed_id (grouping key),organization; property; tenant/allotment/bed,"onboarding_date, actual_exit_date",COUNT(*) overlapping pairs,bed_id IS NOT NULL,Not applicable,Not applicable,"Full tenant_allotments history, 2019-11 to 2026-08.",,"H.056 overlapping_allotments (validated: DQ.003 in validate_data_quality.py, DIFFERS: 214 reconstructed vs 187 reference, ~14% higher, explained by boundary-condition sensitivity, not a data error).",,DQ.003,DISCLOSE,DISCLOSE,"Questions about overlapping allotments may be answered directly, WITH the caveat text attached every time.",Stating overlapping allotments without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.003.",ACTIVE
M.RISK.008,Ledger/source reconciliation,Ledger/source reconciliation,Risk & Data Quality,"Umbrella cross-reference to the three source-vs-ledger drift checks (receipts, invoices, deposit settlements).","See M.COL.003 (receipts), M.INV.001's ledger cross-check (invoices), M.DEP.002 (deposit settlements).",See each component metric; v_je_amount_reconciliation logic (H.001),See each component metric,org=organization_id; property=See each component; tenant/allotment=See each component,organization; property; tenant/allotment/bed,See each component metric,See each component metric,See each component metric,"Sign-inverted netting convention (H.001's own construction, business_logic.md 1.3 definition C) across all three.",Live rows only on the source side throughout.,See each component metric.,M.COL.003;M.INV.001;M.DEP.002,"All three independently re-derived and exact-matched to H.001 in this pass (COLL.02, and the invoice/deposit equivalents referenced in M.INV.001/M.DEP.002).",C.014;C.015;C.016,DQ.006;DQ.007;DQ.008,DISCLOSE,DISCLOSE,"Questions about ledger/source reconciliation may be answered directly, WITH the caveat text attached every time.",Stating ledger/source reconciliation without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.006;DQ.007;DQ.008. See conflicts.md C.014;C.015;C.016.",ACTIVE
M.RISK.009,Data-quality score / trust status,Data-quality score / trust status,Risk & Data Quality,A meta-metric: how much of the metric catalog is SAFE to answer directly vs requires disclosure/showing both/blocking.,COUNT of metrics in this registry by ai_trust_status.,metric_registry.csv (this deliverable's own output); N/A; N/A,ai_trust_status column of metric_registry.csv,org=Not applicable; property=Not applicable; tenant/allotment=Not applicable,tenant/allotment/bed,Not applicable,COUNT(*) GROUP BY ai_trust_status,None,Not applicable,Not applicable,Reflects this deliverable's snapshot as of 2026-08-31 (today).,ALL,Self-validating: this document's closing summary counts are derived directly from metric_registry.csv.,,,SAFE,SAFE,"Direct questions about data-quality score / trust status (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.RENT.001,Current rent per bed,Current rent per bed,Financial,"The monthly rent recorded on the allotment currently occupying each bed. Rent is a per-bed figure: the beds inside one apartment routinely carry different rents, so no single apartment-level or property-level rent exists.","tenant_allotments.monthly_rental of the live allotment on each bed (staying_status='Staying' AND actual_exit_date IS NULL), one value per bed. Never summed and never averaged into an apartment figure.","tenant_allotments, beds, apartments; v_export_tenant_allotments (pass-through)","tenant_allotments.monthly_rental, bed_id, apartment_id, staying_status, actual_exit_date, onboarding_date; beds.bed_code, status; apartments.apartment_code","org=organization_id; property=via apartment; apartment=apartment_id; bed=bed_id (native grain); tenant/allotment=tenant_id, id",organization; property; apartment; bed,onboarding_date (used only to pick the latest allotment on a bed; monthly_rental itself carries no effective date),None -- one recorded value per bed. NEVER SUM or average across beds.,staying_status='Staying' AND actual_exit_date IS NULL,Not applicable (not a ledger-derived metric).,Not applicable; Cancelled allotments are excluded by the staying_status filter.,"CURRENT STATE ONLY. monthly_rental carries no effective date and the export has no update tracking (v_export_tenant_allotments emits updated_at as a literal NULL), so a rent in force during a past period is NOT derivable from this evidence.",,"FN.get_occupancy_intelligence resolves rent per bed as 'select distinct on (bed_id) coalesce(monthly_rental,0) ... order by bed_id, onboarding_date desc' and converts it with '* days / 30.0', confirming both the bed grain and the monthly basis. No exported output rows exist for that function, so the figure is reconciled against the base table only.",,,DISCLOSE,DISCLOSE,Current rent on a named bed; the current rents of the beds in a named apartment; the recorded spread of rent.,"Rent in force during a past period (no effective date exists). A single apartment-level or property-level rent figure. Any total or average presented as 'the rent'. Substituting revenue, invoice amount, amount paid, balance due, owner rent or deposit for rent.","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered.",ACTIVE
M.RENT.002,Historical rent per bed,Rent recorded for a past month,Financial,"The monthly rent recorded against each bed for a named past month, taken from the stay that occupied the bed in that month. Rent is a per-bed figure and stays one here: beds inside an apartment routinely carry different rents.","tenant_allotments.monthly_rental of the stint whose [onboarding_date, COALESCE(actual_exit_date, export snapshot)] interval covers the requested month, one value per bed, latest onboarding_date winning a tie. Never summed or averaged.","tenant_allotments, beds, apartments","tenant_allotments.monthly_rental, bed_id, apartment_id, staying_status, onboarding_date, actual_exit_date; beds.bed_code; apartments.apartment_code",org=organization_id; property=via apartment; apartment=apartment_id; bed=bed_id (native grain); tenant/allotment=id,organization; property; apartment; bed; month,"onboarding_date, actual_exit_date (the stint interval that dates the rent)",None -- one recorded value per bed. NEVER SUM or average across beds.,"staying_status IN ('Staying','On-Notice','Exited') AND the stint interval covers the requested month",Not applicable (not a ledger-derived metric).,Cancelled and Booked allotments never occupied the bed and are excluded.,"Stint-level history IS available: a stay's rent is dated by the stay's own interval, and 1003 exited stints carry an exit date. A rent REVISION applied inside a stay is NOT determinable -- tenant_allotments has no updated_at and audit_logs contains no tenant_allotments row and no monthly_rental change.",M.RENT.001,"Same per-bed resolution rule as FN.get_occupancy_intelligence's bed_rent CTE, with the live filter replaced by the requested month's interval overlap.",,,DISCLOSE,DISCLOSE,The rent recorded for a named bed in a named past month; the rents recorded for the beds of a named apartment in a past month.,A rent revision inside a single stay (no revision date exists). A single apartment-level or property-level rent for a past month. Any total or average of rents presented as the rent.,"This is the rent recorded on the stay that occupied each bed in that month. One stay carries one recorded rent for its whole length; if a rent was changed part-way through a stay, the records do not show it.",ACTIVE
