key,logical_name,class,rows,cols,bytes,file,note
M.008,constraints,metadata,565,8,82541,Supabase Snippet Untitled query (8).csv,565 constraints PK/UK/FK/CHECK
M.009,foreign_keys,metadata,322,12,41948,Supabase Snippet Untitled query (9).csv,322 declared FKs with on_delete/on_update
M.010,implied_fks,metadata,90,7,8038,Supabase Snippet Untitled query (10).csv,90 undeclared/implied relationships
M.011,polymorphic_refs,metadata,5,6,439,Supabase Snippet Untitled query (11).csv,5 polymorphic discriminator/reference pairs
M.012,json_columns,metadata,11,5,632,Supabase Snippet Untitled query (12).csv,11 JSON/JSONB columns
M.013,enum_values,metadata,38,5,1282,Supabase Snippet Untitled query (13).csv,38 enum values
M.014,enum_columns,metadata,13,6,828,Supabase Snippet Untitled query (14).csv,13 enum-typed columns
M.015,indexes,metadata,428,6,71961,Supabase Snippet Untitled query (15).csv,428 indexes
M.016,view_definitions,metadata,54,6,62846,Supabase Snippet Untitled query (16).csv,54 public view SQL definitions
M.017,view_columns,metadata,749,5,39054,Supabase Snippet Untitled query (17).csv,749 view columns
M.018,view_dependencies,metadata,148,5,8595,Supabase Snippet Untitled query (18).csv,148 view -> object dependency edges
M.019,routine_inventory_full,metadata,483,8,40912,Supabase Snippet Untitled query (19).csv,"483 in-scope routines, signature only"
M.020,routine_definitions_a,metadata,36,4,119010,Supabase Snippet Untitled query (20).csv,36 routine definitions
M.021,trigger_wiring_dup,metadata,55,9,14494,Supabase Snippet Untitled query (21).csv,55 triggers - EXACT DUPLICATE of FN.TRG
M.022,routine_definitions_b,metadata,40,3,62282,Supabase Snippet Untitled query (22).csv,40 function definitions
M.023,column_profile,metadata,1891,8,106186,Supabase Snippet Untitled query (23).csv,1891 cols: total/non-null/distinct
M.024,numeric_profile,metadata,267,10,20259,Supabase Snippet Untitled query (24).csv,267 numeric cols: min/max/avg/neg/zero/monetary flag
M.025,temporal_profile,metadata,296,12,32350,Supabase Snippet Untitled query (25).csv,296 date cols: min/max/months/before2019/after_today
M.026,generated_sql_helper,metadata,1,1,81997,Supabase Snippet Untitled query (26).csv,Generated profiling SQL - NOT data
M.027,sensitive_columns,metadata,160,7,19264,Supabase Snippet Untitled query (27).csv,160 PII/sensitive columns + export action
M.099,snapshot_end,metadata,1,4,178,Supabase Snippet Untitled query - 2026-08-29T164828.845.csv,Snapshot END 2026-08-29 11:18:26.768Z txn 421072
F.001,public.v_pnl,view,57,6,6485,Supabase Snippet Untitled query - 2026-08-29T160932.742.csv,business view export
F.002,public.v_pnl_by_category,view,57,22,10580,Supabase Snippet Untitled query - 2026-08-29T160940.022.csv,business view export
F.003,public.v_revenue_by_period,view,224,6,25987,Supabase Snippet Untitled query - 2026-08-29T160954.415.csv,business view export
F.004,public.v_expenses_by_period,view,138,6,16733,Supabase Snippet Untitled query - 2026-08-29T161003.367.csv,business view export
F.005,public.v_occupancy,view,1,8,181,Supabase Snippet Untitled query - 2026-08-29T161032.517.csv,business view export
F.006,public.v_outstanding_receivables,view,626,6,87349,Supabase Snippet Untitled query - 2026-08-29T161039.681.csv,business view export
F.007,public.v_tenant_current_dues,view,645,11,101513,Supabase Snippet Untitled query - 2026-08-29T161047.115.csv,business view export
F.008,public.v_tenant_aging,view,644,8,86224,Supabase Snippet Untitled query - 2026-08-29T161117.994.csv,business view export
F.009,public.v_invoice_settlement_status,view,5379,10,1057017,Supabase Snippet Untitled query - 2026-08-29T161238.083.csv,business view export
F.010,public.v_advance_balances,view,509,5,61406,Supabase Snippet Untitled query - 2026-08-29T161252.248.csv,business view export
F.011,public.v_org_cash_balance,view,1,2,78,Supabase Snippet Untitled query - 2026-08-29T161647.203.csv,business view export
F.012,public.v_trial_balance,view,24,8,2619,Supabase Snippet Untitled query - 2026-08-29T161654.413.csv,business view export
F.013,public.v_trial_balance_detailed,view,57,15,11340,Supabase Snippet Untitled query - 2026-08-29T161702.525.csv,business view export
F.014,public.v_account_rollup,view,57,10,9574,Supabase Snippet Untitled query - 2026-08-29T161710.077.csv,business view export
F.015,public.v_maintenance_metrics,view,20,7,2004,Supabase Snippet Untitled query - 2026-08-29T161718.540.csv,business view export
F.016,public.v_maintenance_by_issue_type,view,9,9,1536,Supabase Snippet Untitled query - 2026-08-29T161727.389.csv,business view export
F.017,public.v_tenant_lifecycle_events,view,2204,9,550154,Supabase Snippet Untitled query - 2026-08-29T161735.393.csv,business view export
F.018,public.v_tenant_ledger,view,14200,17,5776884,Supabase Snippet Untitled query - 2026-08-29T161747.771.csv,business view export
F.019,public.v_expense_composition,view,138,10,21848,Supabase Snippet Untitled query - 2026-08-29T161758.517.csv,business view export
F.020,public.v_bed_expense_breakdown,view,385,8,74239,Supabase Snippet Untitled query - 2026-08-29T161805.767.csv,business view export
F.021,public.v_account_balances,view,32040,23,12565640,Supabase Snippet Untitled query - 2026-08-29T161847.056.csv,business view export
F.022,public.v_active_tenants,view,1,5,161,Supabase Snippet Untitled query - 2026-08-29T161856.747.csv,business view export
F.023,public.v_property_expense_share,view,46,5,4801,Supabase Snippet Untitled query - 2026-08-29T161907.668.csv,business view export
F.024,public.v_asset_payment_status,view,308,14,62924,Supabase Snippet Untitled query - 2026-08-29T161916.607.csv,business view export
F.025,public.maintenance_item_stock_summary,view,93,5,7903,Supabase Snippet Untitled query - 2026-08-29T161924.363.csv,business view export [ambiguous: public.maintenance_item_stock_summary/public.maintenance_item_low_stock]
F.026,public.maintenance_item_stock_summary,view,93,5,7903,Supabase Snippet Untitled query - 2026-08-29T161931.323.csv,EXACT DUPLICATE of F.025 [ambiguous: public.maintenance_item_stock_summary/public.maintenance_item_low_stock]
F.027,public.v_exit_reconciliation_worklist,view,45,16,13130,Supabase Snippet Untitled query - 2026-08-29T161939.621.csv,business view export
F.028,public.v_diag_owner_rent_missing_from_profit,view,46,4,5388,Supabase Snippet Untitled query - 2026-08-29T161952.237.csv,business view export
